Time                        Bx(nT)         By(nT)         Bz(nT)
          1570.1493         -0.5533         2.4149         7.5403
          1573.1572         -2.0364         1.7968         7.8415
          1576.1652         -1.9444         2.0059         5.0835
          1579.1731          0.1070         3.6812         8.6150
          1582.1811          0.0995         1.9651         7.0721
          1585.1890          0.7362         1.7763         7.0975
          1588.1970         -0.2145         2.0679         8.2234
          1591.2049         -1.0130         2.4015         8.8572
          1594.2129         -1.9347         1.7480         6.6231
          1597.2208         -1.9002         1.0405         6.5396
          1600.2288         -1.7061         1.9176         7.9658
          1603.2367         -1.9716         1.8964         7.0112
          1606.2447         -0.6674         2.7475         9.8250
          1609.2526          0.6593         1.6421         9.3731
          1612.2606          0.8744         0.5455         7.9871
          1615.2685          1.4936        -0.0407         7.8012
          1618.2765          1.8178        -0.8898         6.4314
          1621.2844          1.2512        -1.1704         7.9220
          1624.2924          1.4581        -1.1450         7.2600
          1627.3003          2.0864        -0.8188         7.1447
          1630.3083          1.9995        -1.4310         6.9037
          1633.3162          2.0663        -1.7525         6.1682
          1636.3242          2.3399        -1.6349         8.9209
          1639.3321          2.4367        -1.4301         8.6143
          1642.3401          2.3096        -1.0539         6.7946
          1645.3480          1.9121        -1.8673         7.5493
          1648.3560          2.0069        -1.8796         6.6402
          1651.3639          2.0783        -1.5557         6.7075
          1654.3719          1.6905        -0.4570         6.8791
          1657.3798          2.9759        -0.5641         8.5725
          1660.3878          3.2573        -0.9654         7.0729
          1663.3957          3.4864        -0.6359         8.1208
          1666.4036          3.7095        -0.9972         9.7558
          1669.4116          3.0162        -0.5913         9.1762
          1672.4195          1.4496        -0.8449         7.3205
          1675.4275          0.9925        -0.1767         7.5063
          1678.4354          1.9416        -0.6980         6.8406
          1681.4434          2.2245        -0.5863         8.0201
          1684.4513          1.1799        -0.8198         7.7329
          1687.4593          1.7254        -1.7172         9.1478
          1690.4672          2.9895        -0.7267        11.3420
          1693.4752          3.4967        -0.3876        11.3200
          1696.4831          3.6300        -0.2230        10.7150
          1699.4911          3.3209        -0.4548        10.8390
          1702.4990          1.6425        -0.9258         8.3758
          1705.5070          1.7666        -1.1432         8.2787
          1708.5149          1.7915        -0.3562         7.6029
          1711.5229          1.9836        -0.0058         7.4630
          1714.5308          1.6662        -0.6975         9.3503
          1717.5388          3.1528        -1.4635         9.4034
          1720.5467          2.2119         0.6296         9.1670
          1723.5547          0.5833         1.7751         9.6433
          1726.5626         -0.4799         0.6816         7.7831
          1729.5706         -1.2220         0.4827         6.7531
          1732.5785          0.5673         2.1021         8.6233
          1735.5865          0.9873         0.9486         8.1480
          1738.5944          0.4470        -0.0152         6.9053
          1741.6024          0.8931        -1.2007         8.3378
          1744.6103          1.2261        -0.6408         7.2709
          1747.6183          1.8598        -0.4550         8.6446
          1750.6262          2.3446         1.0068         9.5693
          1753.6342          1.1055         0.6132         8.6545
          1756.6421          1.2524         1.5236         9.1741
          1759.6501         -0.0176         1.3353         9.1480
          1762.6580         -0.9356         0.5477         8.0800
          1765.6660         -0.5269         1.3986         9.1071
          1768.6739         -0.3529         1.9316         8.5261
          1771.6819          0.4507         1.6522         7.8523
          1774.6898          0.2668         2.4143         8.3650
          1777.6978          0.4632         1.9472         9.6489
          1780.7057         -0.7090         2.1833        10.0641
          1783.7137         -0.6962         2.1322         9.9996
          1786.7216          0.4256         1.9090         8.7106
          1789.7296         -0.2513         0.8867         9.0719
          1792.7375          0.6501         0.8004         8.9293
          1795.7454          0.4220         1.1597         9.3891
          1798.7534          0.2773         1.5709        10.5786
          1801.7614          0.1748         0.9879        10.2613
          1804.7693         -0.1756         2.1404         8.2264
          1807.7772          0.1829         2.3682         8.2942
          1810.7852          0.2645         2.5204        10.2169
          1813.7931          0.1176         1.4807        10.3753
          1816.8011          0.0232         1.1634         8.6398
          1819.8090         -0.2979         1.5957         8.7182
          1822.8170         -1.3658         1.9348         9.3057
          1825.8249         -1.6338         2.1582         8.3477
          1828.8329         -0.4285         2.8170         8.7021
          1831.8408         -0.1507         2.0031         9.3183
          1834.8488         -0.4062         0.6994        10.0994
          1837.8567         -0.0812         0.2422         8.7443
          1840.8647          0.7309         1.5405         9.9502
          1843.8726         -0.4782         2.1188        10.7376
          1846.8806         -0.7992         2.0822         8.6481
          1849.8885         -0.9695         2.4013         7.8070
          1852.8965          0.2397         2.1009         8.7160
          1855.9044          0.0213         1.0447         8.9381
          1858.9124          0.6842         1.1082         8.0784
          1861.9203          0.5027         2.6489         9.6104
          1864.9283         -0.4818         2.6275         8.8914
          1867.9362          0.7456         0.6979         8.9630
          1870.9442          1.1323        -0.1279         9.1054
          1873.9521          0.2344         1.4188         8.1740
          1876.9601         -0.0690         2.3231         8.9838
          1879.9680         -1.2270         1.7656        10.1879
          1882.9760         -0.9308         2.2066         9.5159
