Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(K)
2007-06-08/06:36:37          9.1029        -4.8759        31.2370        32.8996      -109.6613        94.8512       -19.5200       146.2989        31.2061       112.0315
2007-06-08/06:36:40          8.5223        -8.0126        27.0584        29.4787      -109.5561       111.2505       -18.9134       157.2798        35.5679       111.1389
2007-06-08/06:36:43          6.6641        -5.8335        31.1160        32.3519      -116.0352        98.1984       -26.1372       154.2408        35.1746       110.9817
2007-06-08/06:36:46          8.1190        -7.0129        28.9185        30.8444      -118.5045       111.4890       -18.7911       163.7871        33.1029       112.8885
2007-06-08/06:36:49          9.4793        -8.3799        30.3022        32.8376      -115.1443       100.7365       -24.3959       154.9233        34.3495       111.8611
2007-06-08/06:36:52          6.7028        -4.8299        32.7233        33.7501      -117.1059        94.4856       -20.6624       151.8824        32.1696       110.9603
2007-06-08/06:36:55          9.6300        -6.5346        33.3895        35.3595      -118.9513       102.7051       -17.3081       158.1054        30.5741       121.6470
2007-06-08/06:36:58          7.6802        -5.2190        30.5690        31.9482      -110.1996        96.7100       -19.5148       147.9108        30.3825       117.9118
2007-06-08/06:37:01         10.4511        -5.1009        29.7317        31.9252      -119.4403        95.6241       -21.1819       154.4624        33.9665       115.4394
2007-06-08/06:37:05          6.0264        -2.5759        32.1484        32.8096      -107.4140        93.8387       -24.8060       144.7715        33.7080       101.7566
2007-06-08/06:37:08          6.9873        -5.9171        28.8201        30.2396      -128.1296       110.2609       -19.0544       170.1109        33.1175       118.4839
2007-06-08/06:37:11          8.2282        -7.1168        31.1872        33.0302      -128.3842       108.4993       -16.0832       168.8587        31.5523       117.8892
2007-06-08/06:37:14          6.7018        -3.0963        29.0171        29.9415      -122.7936       101.0873       -19.8056       160.2784        33.3478       117.3426
2007-06-08/06:37:17          6.7723        -5.1713        32.3145        33.4191      -113.3626       110.8439       -20.9839       159.9306        33.1555       116.0873
2007-06-08/06:37:20          7.1581        -3.9368        31.4691        32.5121      -126.0506       107.7784       -15.2655       166.5471        33.8498       112.8004
2007-06-08/06:37:23          7.2048        -5.1748        30.8020        32.0538      -119.3901       109.5571       -21.1091       163.4085        33.3657       114.3316
2007-06-08/06:37:26          6.9166        -1.4245        32.5178        33.2757      -120.9697       105.1539       -22.7051       161.8843        34.2271       111.8516
2007-06-08/06:37:29          7.8223        -5.4183        27.7081        29.2965      -115.0628       109.1573       -21.7601       160.0882        34.4134       109.8923
2007-06-08/06:37:32          7.8032        -2.4417        30.2611        31.3462      -128.1914       104.6019       -21.3909       166.8297        32.2959       116.8010
2007-06-08/06:37:35          7.7781        -3.3445        31.7679        32.8768      -128.4590       110.7822       -14.4223       170.2423        32.5041       117.2807
2007-06-08/06:37:38          8.1413        -6.9709        31.0454        32.8435      -114.8813       105.5099       -20.7006       157.3486        33.2652       114.6581
2007-06-08/06:37:41          5.2595        -1.7719        28.6231        29.1562      -119.5537       103.1044       -18.1464       158.9116        31.8249       117.9780
2007-06-08/06:37:44          6.2172        -4.2833        27.4539        28.4731      -122.2566       118.8731       -22.9742       172.0619        34.5433       121.1813
2007-06-08/06:37:47          7.6335        -6.4160        30.6148        32.1978      -117.5769       103.1965       -22.9760       158.1194        32.7188       115.3475
2007-06-08/06:37:50          8.0313        -4.3082        29.4298        30.8087      -122.7326        99.6876       -21.5781       159.5823        33.9052       115.2530
2007-06-08/06:37:53          7.1477        -3.2788        31.2162        32.1915      -110.7676       100.8504       -26.9070       152.1981        35.7107       113.8639
2007-06-08/06:37:56          6.7593        -3.2561        27.3399        28.3507      -117.2408       109.3277       -14.5979       160.9691        32.6721       117.7314
2007-06-08/06:37:59          7.3127        -5.8161        28.9968        30.4650      -122.9341       111.5527       -22.0161       167.4560        35.2668       120.7160
2007-06-08/06:38:02          7.8059        -5.4538        30.6536        32.0986      -117.5259       102.6110       -20.2415       157.3247        31.6208       118.5990
2007-06-08/06:38:05          7.4472        -3.0420        30.7205        31.7563      -123.5922        97.5050       -20.0925       158.7008        33.3981       114.7614
2007-06-08/06:38:08          6.7736        -3.7280        31.7822        32.7091      -120.2992       112.1912       -20.8544       165.8121        34.3135       115.6284
2007-06-08/06:38:11          6.9430        -4.6354        26.8573        28.1248      -111.8760       108.7601       -22.4599       157.6371        34.9497       116.1569
2007-06-08/06:38:14          5.4915        -2.6606        32.0282        32.6043      -120.1168        99.7580       -21.2017       157.5729        34.0746       114.8846
2007-06-08/06:38:17          8.7074        -5.0366        30.1635        31.7966      -115.4318       111.6304       -18.5988       161.6532        32.7043       116.8054
2007-06-08/06:38:20          7.1238        -4.5252        29.0182        30.2206      -106.2295        98.7487       -23.4614       146.9233        34.3994       116.6997
2007-06-08/06:38:23          4.0068        -0.1264        29.5984        29.8686      -117.5814        95.6546       -22.3871       153.2200        34.9340       109.4871
2007-06-08/06:38:26          6.7256        -2.2969        32.7914        33.5528      -113.3454       109.7746       -23.4082       159.5167        32.9558       112.7153
2007-06-08/06:38:29          7.9586        -3.7566        29.3372        30.6288      -116.3109       112.8902       -18.3795       163.1264        31.7926       114.6061
2007-06-08/06:38:32          8.7392        -4.3234        31.5799        33.0508      -124.6390       106.9049       -17.1192       165.0957        32.4362       116.7536
2007-06-08/06:38:35          4.5872        -2.6240        29.1989        29.6732      -113.4809        96.4812       -20.6249       150.3727        31.5400       117.4231
2007-06-08/06:38:38          6.5674        -1.6017        30.0758        30.8261      -123.9663       102.6492       -20.3444       162.2294        34.0294       116.5885
2007-06-08/06:38:41          8.1189        -4.0689        33.4044        34.6169      -122.2315       111.7235       -16.1104       166.3798        32.1983       114.4884
2007-06-08/06:38:44          5.3817        -3.5252        28.4530        29.1712      -111.5340       104.3832       -20.1831       154.0878        33.2794       118.8956
2007-06-08/06:38:47          5.8313        -3.4104        27.4073        28.2276      -120.1420       111.9827       -20.0595       165.4588        35.1866       113.2691
2007-06-08/06:38:50          3.4234        -2.8967        26.9789        27.3491      -125.8708       119.8868       -19.1076       174.8754        35.6429       124.1647
2007-06-08/06:38:53          7.4311        -3.8233        33.3711        34.4015      -121.6966       114.3347       -20.7721       168.2676        33.2219       117.2824
2007-06-08/06:38:56          7.9885        -4.0865        31.5157        32.7682      -111.1810       107.4399       -20.6145       155.9792        32.8757       113.9377
2007-06-08/06:38:59          8.0674        -8.3023        32.1240        34.1462      -112.9740       100.8114       -24.3519       153.3593        34.1658       114.6466
2007-06-08/06:39:02          4.9686        -1.5295        27.9793        28.4582      -115.3140        95.8622       -20.6765       151.3750        32.4545       117.5741
2007-06-08/06:39:05          8.3577        -6.0049        31.7794        33.4042      -121.2414       102.6569       -24.0659       160.6769        34.0095       116.4961
2007-06-08/06:39:08          5.5240        -4.5194        31.5212        32.3191      -119.2410        93.1577       -24.6056       153.3043        32.0320       115.5957
2007-06-08/06:39:11          7.0709        -3.0882        29.5073        30.4994      -123.5581       106.9862       -15.2982       164.1544        32.4046       117.5352
2007-06-08/06:39:14          6.6796        -3.2711        27.0761        28.0791      -112.2425       108.3498       -24.5782       157.9309        33.7986       116.9097
2007-06-08/06:39:17          9.0663        -4.0286        31.3369        32.8699      -127.4934       111.8471       -17.8860       170.5410        34.0176       117.6884
2007-06-08/06:39:20          6.8402        -5.6623        31.0256        32.2713      -115.9749       100.1995       -21.8567       154.8155        32.5269       124.7401
2007-06-08/06:39:23          8.2268        -2.9864        27.7329        29.0812      -122.9270       103.6031       -18.2892       161.7997        33.1350       121.8871
