Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(eV)
          562.46858         -1.6488        -5.6242        16.1507        17.1812      -495.6259        73.5309        69.6584       505.8731         3.8982       155.5035
          565.47644         -1.1219        -6.1745        15.6943        16.9025      -506.9933        71.4622        74.7268       517.5033         4.0762       156.8458
          568.48429          0.0114        -6.2824        15.5481        16.7694      -513.2340        61.0866        83.9825       523.6515         4.2255       156.0167
          571.49214         -0.2929        -6.4011        15.0506        16.3578      -511.7705        56.5008        78.7901       520.9835         4.1080       152.5807
          574.50000         -1.7287        -6.4368        14.8265        16.2557      -519.0718        54.9779        63.9912       525.8929         3.9349       155.7524
          577.50785         -1.9873        -6.6344        13.8372        15.4737      -521.4802        52.7981        72.1350       529.2837         4.0699       154.9309
          580.51570          1.4046        -1.9272        14.9751        15.1638      -513.0262        51.8965        99.7125       525.3739         4.1259       157.0381
          583.52356          1.6742        -4.3804        14.9751        15.6922      -506.3066        46.4029       112.2535       520.7712         3.5915       161.0891
          586.53141          2.0846        -5.2285        14.5747        15.6238      -514.6377        37.7314        91.0054       524.4469         3.5320       160.2265
          589.53926         -4.0088        -7.4424        14.4504        16.7414      -530.3378        41.3164        63.4003       535.7247         3.1942       158.4186
          592.54712         -4.2124        -8.5153        13.6717        16.6485      -527.3742        39.2782        56.4781       531.8483         2.9903       173.8282
          595.55497          2.9412        -6.1338        14.0607        15.6198      -524.9404        41.3418        56.2241       529.5777         2.4255       238.6258
          598.56283          6.2480        -4.1633        11.7472        13.9416      -516.1254        57.1224        66.0665       523.7993         1.6733       317.5818
          601.57068          8.2037        -5.0209        11.1532        14.7277      -475.8833        63.2142        72.1859       485.6346         1.1788       396.0195
          604.57853         11.1762        -5.3712         9.3103        15.5061      -438.8504        48.4084        64.2714       446.2744         0.8192       459.7262
          607.58639         10.3517        -5.7653         9.4602        15.1622      -419.2662        57.6844        54.4839       426.7338         0.9112       413.3399
          610.59423          9.5088        -4.7556         7.8607        13.2221      -414.9502        75.7149        63.0440       426.8148         1.3224       358.5278
          613.60209          7.3604        -1.9130         9.5587        12.2149      -427.7714        91.4071        81.2580       445.0507         1.4302       391.2413
          616.60995          7.1691        -3.9799         9.3774        12.4568      -419.9097        76.2376        86.5194       435.5266         0.7430       508.8407
          619.61780          8.3431        -5.1213         8.4261        12.9165      -431.0700        73.0107        86.9602       445.8177         0.7580       505.2669
          622.62565          5.6825        -3.8407         7.6589        10.2811      -445.4357        81.6582        90.6777       461.9228         1.0780       449.9058
          625.63350          6.4133        -2.9036         8.2764        10.8655      -483.0577        90.8180        97.2653       501.1668         1.3515       382.7800
          628.64135          5.6699        -2.4589         7.2377         9.5172      -492.0059        97.8977       119.1230       515.7236         1.0347       460.1736
          631.64921          3.9497        -1.2784         7.4330         8.5138      -515.7292       117.2153       138.4501       546.7404         1.0126       541.5714
          634.65706          1.9889        -1.0285         6.5895         6.9595      -510.6673       125.7130       126.1107       541.2688         1.0200       596.3186
          637.66492          0.5604         0.3347         8.1934         8.2193      -538.8069       155.8046       112.4507       572.3621         0.8493       661.5286
          640.67278          1.7636        -0.9212        11.0626        11.2401      -575.8204       186.7283       134.2378       620.0677         1.2976       494.2477
          643.68062          3.7048        -5.2682        11.5615        13.2343      -555.9270       167.0537       132.8623       595.6105         1.7383       329.3985
          646.68847          8.7572        -9.7096         8.4850        15.5872      -513.9514       135.3938       118.7861       544.6378         1.8708       255.2816
          649.69633          7.1301        -6.9174        10.6284        14.5483      -482.6141       128.1728       119.9338       513.7779         2.3741       195.3647
          652.70418          4.7465        -5.5642        13.6233        15.4623      -508.0445       155.1339       141.9277       549.8861         2.9945       178.5550
